Ewe/V	<I>/mA	
1.2788222E+000	3.895809936523438E+001
1.3288107E+000	4.709151689629800E+001
1.2687619E+000	3.684168178156801E+001
1.3187848E+000	4.480281001643129E+001
1.2588811E+000	3.478790679730866E+001
1.3088008E+000	4.260871345118471E+001
1.2487367E+000	3.285186265644268E+001
1.2988549E+000	4.049806890989601E+001
1.2388979E+000	3.099465673848198E+001
1.2887795E+000	3.849458845038157E+001
1.2288605E+000	2.921166505311658E+001
1.2787993E+000	3.652100768842195E+001
1.2188040E+000	2.751013610237521E+001
1.2687887E+000	3.464496000189524E+001
1.2087971E+000	2.586400428571199E+001
1.2588314E+000	3.280110886222437E+001
1.1988018E+000	2.427151614741274E+001
1.2487139E+000	3.104787615725868E+001
1.1888483E+000	2.277325083080089E+001
1.2387719E+000	2.935331460049269E+001
1.1787879E+000	2.135216067966661E+001
1.2287956E+000	2.773793742531223E+001
1.1689034E+000	1.999321548562300E+001
1.2188231E+000	2.616936324772081E+001
1.1588430E+000	1.870408324191442E+001
1.2088200E+000	2.468339533554880E+001
1.1487788E+000	1.748511944319068E+001
1.1989009E+000	2.325454458437463E+001
1.1388102E+000	1.633066004200985E+001
1.1888903E+000	2.189013119747764E+001
1.1288301E+000	1.523141596191807E+001
1.1788796E+000	2.057825512635080E+001
1.1188537E+000	1.420201322906895E+001
1.1688040E+000	1.931999515232286E+001
1.1089003E+000	1.321668220821179E+001
1.1589155E+000	1.811864875492296E+001
1.0988476E+000	1.229057182763751E+001
1.1488323E+000	1.698004115255253E+001
1.0888790E+000	1.142809613127457E+001
1.1388140E+000	1.590925245535999E+001
1.0787232E+000	1.061610470320048E+001
1.1288797E+000	1.489342589127390E+001
1.0687392E+000	9.859645843505859E+000
1.1187925E+000	1.392450025207117E+001
1.0587095E+000	9.150807581449811E+000
1.1088048E+000	1.300710089583146E+001
1.0486797E+000	8.487246450624966E+000
1.0987979E+000	1.213959322477642E+001
1.0387607E+000	7.872632823492339E+000
1.0886766E+000	1.131888200107374E+001
1.0287958E+000	7.297029037224618E+000
1.0787767E+000	1.055242519629628E+001
1.0187813E+000	6.762878110534245E+000
1.0687202E+000	9.831985323052649E+000
1.0087324E+000	6.263866342996295E+000
1.0587934E+000	9.154521540591588E+000
9.9872172E-001	5.797224885539002E+000
1.0488591E+000	8.511594182566569E+000
9.8881036E-001	5.360505574627926E+000
1.0387912E+000	7.912582704895414E+000
9.7879201E-001	4.957674509600589E+000
1.0287843E+000	7.350017152334509E+000
9.6883857E-001	4.580030303252357E+000
1.0187508E+000	6.824858433321893E+000
9.5888519E-001	4.229363573224916E+000
1.0088354E+000	6.332838723534024E+000
9.4873703E-001	3.904024293548176E+000
9.9873316E-001	5.872665976223189E+000
9.3878746E-001	3.598122320677103E+000
9.8878741E-001	5.443295591755913E+000
9.2879200E-001	3.315045121468996E+000
9.7881109E-001	5.042007571772515E+000
9.1884625E-001	3.050078178706922E+000
9.6882331E-001	4.666228325743422E+000
9.0885085E-001	2.801688122121909E+000
9.5871335E-001	4.314721672158491E+000
8.9884019E-001	2.571131963478891E+000
9.4888973E-001	3.987492915831112E+000
8.8880658E-001	2.354941170466571E+000
9.3874931E-001	3.681329237787347E+000
8.7879211E-001	2.154156452731082E+000
9.2878062E-001	3.392859098158382E+000
8.6885393E-001	1.966948104532136E+000
9.1889590E-001	3.125539516147814E+000
8.5881275E-001	1.792516673866068E+000
9.0882033E-001	2.874706738873532E+000
8.4883261E-001	1.630385034962704E+000
8.9885926E-001	2.641516701171271E+000
8.3885247E-001	1.480482421423257E+000
8.8884860E-001	2.420264397796828E+000
8.2889146E-001	1.343578244510450E+000
8.7883031E-001	2.216991433971806E+000
8.1888843E-001	1.216912777800307E+000
8.6880434E-001	2.024218838465838E+000
8.0877078E-001	1.099083792222173E+000
8.5876691E-001	1.846620967513630E+000
7.9884410E-001	9.932779920728585E-001
8.4876388E-001	1.681940793991089E+000
7.8882962E-001	8.959567115495073E-001
8.3879900E-001	1.530786705644505E+000
7.7883416E-001	8.091506903108794E-001
8.2895249E-001	1.391384341214831E+000
7.6889986E-001	7.302662549834498E-001
8.1884640E-001	1.265618719552691E+000
7.5880522E-001	6.585193817552764E-001
8.0889678E-001	1.149624313178812E+000
7.4886709E-001	5.950660289902423E-001
7.9879832E-001	1.043974302316967E+000
7.3884112E-001	5.358147503514035E-001
7.8890598E-001	9.487792371135004E-001
7.2883046E-001	4.825499630288073E-001
7.7880746E-001	8.624758422374725E-001
7.1891528E-001	4.331353436175132E-001
7.6886934E-001	7.845062158609686E-001
7.0887023E-001	3.882445159711336E-001
7.5876325E-001	7.128045174636330E-001
6.9885951E-001	3.475155595101809E-001
7.4889004E-001	6.479940430114144E-001
6.8888324E-001	3.096918518605984E-001
7.3884499E-001	5.906628982016915E-001
6.7886490E-001	2.756178418272417E-001
7.2882289E-001	5.384033502716754E-001
6.6871291E-001	2.436951569428569E-001
7.1884656E-001	4.911853267174013E-001
6.5875190E-001	2.154366997511763E-001
7.0886254E-001	4.478878704340834E-001
6.4879853E-001	1.905258407718256E-001
6.9885188E-001	4.093905989276735E-001
6.3874578E-001	1.695556624939567E-001
6.8883359E-001	3.762565466918435E-001
6.2886876E-001	1.494500495885548E-001
6.7880005E-001	3.467012859488783E-001
6.1883897E-001	1.324859285040905E-001
6.6881609E-001	3.169550040834825E-001
6.0870999E-001	1.155670472469768E-001
6.5883595E-001	2.938284983760431E-001
5.9880239E-001	9.980926839144599E-002
6.4885199E-001	2.717123145335592E-001
5.8876884E-001	8.413693318633657E-002
6.3880306E-001	2.528281135386541E-001
5.7876951E-001	6.952517170851147E-002
6.2880003E-001	2.344013332928476E-001
5.6882375E-001	5.525018372818025E-002
6.1879325E-001	2.194678767731315E-001
5.5882835E-001	4.087968668165176E-002
6.0870236E-001	2.047958070118176E-001
5.4879856E-001	2.704199477049862E-002
5.9886736E-001	1.928329499144303E-001
5.3882229E-001	1.267150110460963E-002
5.8881080E-001	1.815989356684056E-001
5.2882308E-001	-6.836585081672602E-004
5.7888025E-001	1.718527409983308E-001
5.1878953E-001	-1.517981395016633E-002
5.6877416E-001	1.623025701234215E-001
5.0877881E-001	-3.036458562373331E-002
5.5879021E-001	1.549388766288757E-001
4.9885210E-001	-4.552925235934957E-002
5.4879099E-001	1.472736178456167E-001
4.8885286E-001	-6.112619151214238E-002
5.3879941E-001	1.392665499527203E-001
4.7888041E-001	-7.709507933376658E-002
5.2883834E-001	1.333152831188942E-001
4.6882769E-001	-9.265683493331867E-002
5.1871699E-001	1.267507920335778E-001
4.5884374E-001	-1.056601434553925E-001
5.0883609E-001	1.194977027020956E-001
4.4886366E-001	-1.179295997870596E-001
4.9883303E-001	1.110533399409369E-001
4.3878037E-001	-1.362609117242851E-001
4.8893303E-001	1.007140199408719E-001
4.2893773E-001	-1.569043544954375E-001
4.7886130E-001	8.944482052404612E-002
4.1890031E-001	-1.790305972099304E-001
4.6889645E-001	8.399619613038856E-002
4.0898892E-001	-1.997092176032695E-001
4.5882854E-001	7.479284728240024E-002
3.9894769E-001	-2.189804531241721E-001
4.4878349E-001	6.450882098196353E-002
3.8885680E-001	-2.413328807604946E-001
4.3887964E-001	6.120144737590294E-002
3.7893781E-001	-2.746730368388333E-001
4.2884231E-001	5.321448879610546E-002
3.6891946E-001	-3.076060594696752E-001
4.1890413E-001	4.442330319924570E-002
3.5883626E-001	-3.367642164230347E-001
4.0888205E-001	3.274696538420874E-002
3.4887522E-001	-3.612126527648227E-001
3.9888656E-001	2.191506013715344E-002
3.3892563E-001	-3.836807055692928E-001
3.8895985E-001	1.263631617334077E-002
3.2887292E-001	-4.012278647799241E-001
3.7887284E-001	3.714446783736711E-003
3.1879732E-001	-4.136933500045226E-001
3.6885452E-001	-4.141825749492886E-003
3.0890882E-001	-4.221477869309878E-001
3.5886678E-001	-9.263734019968023E-003
2.9887149E-001	-4.261940337325409E-001
3.4886372E-001	-1.367189117493248E-002
2.8896761E-001	-4.264252456395250E-001
3.3893323E-001	-1.693403049629477E-002
2.7884629E-001	-4.219668217395481E-001
3.2887292E-001	-1.924617580909016E-002
2.6888904E-001	-4.155832885911592E-001
3.1890425E-001	-1.961812990703043E-002
2.5892037E-001	-4.058219966919800E-001
3.0877900E-001	-2.093002259406557E-002
2.4880660E-001	-3.943115413973208E-001
2.9894784E-001	-1.916072816254061E-002
2.3885702E-001	-3.796243953861689E-001
2.8887984E-001	-1.826602711643271E-002
2.2880431E-001	-3.656962164922768E-001
2.7889588E-001	-1.767291107707455E-002
2.1887383E-001	-3.511548375612812E-001
2.6888523E-001	-1.583827309322691E-002
2.0885170E-001	-3.370155417605452E-001
2.5901964E-001	-1.450627520975298E-002
1.9887154E-001	-3.243339187220524E-001
2.4877982E-001	-1.306369620770535E-002
1.8890668E-001	-3.118433022969649E-001
2.3878439E-001	-1.172164641780240E-002
1.7874704E-001	-3.008354965009188E-001
2.2885010E-001	-1.059573130126075E-002
1.6889678E-001	-2.895914131873534E-001
2.1882036E-001	-9.414525501262316E-003
1.5876773E-001	-2.801216832901302E-001
2.0882881E-001	-8.630406245509606E-003
1.4887162E-001	-2.722452855423878E-001
1.9873792E-001	-6.956613073941159E-003
1.3875403E-001	-2.647861203080732E-001
1.8887229E-001	-6.805821113008093E-003
1.2881966E-001	-2.588298081567415E-001
1.7881960E-001	-6.614817669144152E-003
1.1887397E-001	-2.536325142963937E-001
1.6886240E-001	-5.689959205674805E-003
1.0882886E-001	-2.496515924209044E-001
1.5876012E-001	-7.057141295981173E-003
9.8875485E-002	-2.452585005054351E-001
1.4889070E-001	-6.750530312082892E-003
8.8895328E-002	-2.429413287655304E-001
1.3888378E-001	-6.976718784866748E-003
7.8812130E-002	-2.398903024824044E-001
1.2884644E-001	-7.092326065742949E-003
6.8873957E-002	-2.383019575162941E-001
1.1878224E-001	-7.861366670113071E-003
5.8890078E-002	-2.367739297057456E-001
1.0887092E-001	-8.032264046433799E-003
4.8818283E-002	-2.357686597265696E-001
9.8940358E-002	-9.072730443796528E-003
3.8803756E-002	-2.352258000326790E-001
8.8818975E-002	-1.009309049473622E-002
2.8869465E-002	-2.350699819232291E-001
7.8945756E-002	-1.072641826785433E-002
1.8946584E-002	-2.349292449653149E-001
6.8927430E-002	-1.244544866341657E-002
8.8175191E-003	-2.347885058506539E-001
5.8886204E-002	-1.372215565444143E-002
-1.2656860E-003	-2.357736723987682E-001
4.8844978E-002	-1.471235778482975E-002
-1.1096996E-002	-2.365929807879423E-001
3.8952671E-002	-1.708984782147271E-002
-2.1157233E-002	-2.363818803508035E-001
2.8854178E-002	-1.803481247962307E-002
-3.1118294E-002	-2.382567140616869E-001
1.8923691E-002	-1.905014628765028E-002
-4.1090764E-002	-2.396088256255577E-001
8.8213971E-003	-2.046759244158717E-002
-5.1097684E-002	-2.405387053364203E-001
-1.0900749E-003	-2.243794362354828E-002
-6.1203860E-002	-2.422878922600495E-001
-1.1028169E-002	-2.275460774667169E-002
-7.1077079E-002	-2.430820678801915E-001
-2.1145824E-002	-2.629319769575408E-002
-8.1133507E-002	-2.447810010298302E-001
-3.1144992E-002	-2.733366311478780E-002
-9.1060191E-002	-2.461180192859551E-001
-4.1041173E-002	-2.881645396547883E-002
-1.0115869E-001	-2.475957937146491E-001
-5.1151153E-002	-3.031934834526562E-002
-1.1110827E-001	-2.496314862448923E-001
-6.1047263E-002	-3.126431276139460E-002
-1.2115717E-001	-2.522954929031824E-001
-7.1145751E-002	-3.316932144623838E-002
-1.3103798E-001	-2.566584225155806E-001
-8.1064753E-002	-3.496375010888048E-002
-1.4111359E-001	-2.609408972294709E-001
-9.1144234E-002	-3.657219965795155E-002
-1.5109374E-001	-2.686011430464292E-001
-1.0111670E-001	-3.789414318376472E-002
-1.6108529E-001	-2.773672028591758E-001
-1.1114652E-001	-4.043247631603952E-002
-1.7116089E-001	-2.923207694762633E-001
-1.2114188E-001	-4.226711534551886E-002
-1.8105701E-001	-3.128486016863272E-001
-1.3112964E-001	-4.578057392255258E-002
-1.9126631E-001	-3.423385067205684E-001
-1.4112127E-001	-4.996254407849754E-002
-2.0156755E-001	-3.852187795074364E-001
-1.5142253E-001	-5.517492624685960E-002
-2.1150187E-001	-4.474959471508084E-001
-1.6140266E-001	-6.271956160076356E-002
-2.2150110E-001	-5.363125259938997E-001
-1.7158896E-001	-7.560727078663676E-002
-2.3156904E-001	-6.555539369583130E-001
-1.8149273E-001	-9.250604312278726E-002
-2.4145755E-001	-8.139560724559587E-001
-1.9156452E-001	-1.152304201141785E-001
-2.5151405E-001	-1.010639342038257E+000
-2.0150647E-001	-1.520790049904273E-001
-2.6151711E-001	-1.235686666087100E+000
-2.1156678E-001	-2.046551976941136E-001
-2.7157357E-001	-1.481518027029539E+000
-2.2155455E-001	-2.666408364710056E-001
-2.8147736E-001	-1.725565077442872E+000
-2.3159577E-001	-3.410417061103024E-001
-2.9154530E-001	-1.949843321975912E+000
-2.4154918E-001	-4.377346517224066E-001
-3.0149490E-001	-2.138977044507077E+000
-2.5146821E-001	-5.358350190677141E-001
-3.1153229E-001	-2.282621618948485E+000
-2.6148653E-001	-6.328446880767220E-001
-3.2148188E-001	-2.384421295241307E+000
-2.7146286E-001	-7.314024371536156E-001
-3.3151165E-001	-2.449267111326520E+000
-2.8153846E-001	-8.306990195261807E-001
-3.4142306E-001	-2.487482927347486E+000
-2.9151475E-001	-9.263163326602237E-001
-3.5140321E-001	-2.504994925699737E+000
-3.0157888E-001	-1.015811538225726E+000
-3.6143297E-001	-2.504572667573630E+000
-3.1150940E-001	-1.097329773400961E+000
-3.7146655E-001	-2.489312479370525E+000
-3.2153150E-001	-1.167850246554927E+000
-3.8147342E-001	-2.459722060906261E+000
-3.3151165E-001	-1.224372225372417E+000
-3.9143065E-001	-2.417143322919545E+000
-3.4143066E-001	-1.269137304080161E+000
-4.0148711E-001	-2.364773069557394E+000
-3.5147572E-001	-1.299969343762649E+000
-4.1144818E-001	-2.303561599631060E+000
-3.6150169E-001	-1.319823665054223E+000
-4.2141306E-001	-2.235936387589105E+000
-3.7139401E-001	-1.326790212016357E+000
-4.3146574E-001	-2.165526377527337E+000
-3.8146198E-001	-1.326614337532146E+000
-4.4141150E-001	-2.093890252866245E+000
-3.9147264E-001	-1.316606686303491E+000
-4.5144892E-001	-2.025184195292624E+000
-4.0148714E-001	-1.302140689209889E+000
-4.6149775E-001	-1.956357512034870E+000
-4.1145200E-001	-1.283397218114452E+000
-4.7150844E-001	-1.893200723748460E+000
-4.2150086E-001	-1.261331330788764E+000
-4.8146185E-001	-1.831803183806571E+000
-4.3149245E-001	-1.238094296894577E+000
-4.9142671E-001	-1.779196833309378E+000
-4.4146112E-001	-1.214656163203092E+000
-5.0141066E-001	-1.728887583080091E+000
-4.5140308E-001	-1.189906118731750E+000
-5.1153588E-001	-1.685539910667821E+000
-4.6153975E-001	-1.167010796697516E+000
-5.2139002E-001	-1.647218537958047E+000
-4.7139391E-001	-1.144582991537295E+000
-5.3145796E-001	-1.613466228309431E+000
-4.8141223E-001	-1.124452258411207E+000
-5.4150683E-001	-1.585946581865613E+000
-4.9148399E-001	-1.105628416726464E+000
-5.5139154E-001	-1.556250666317187E+000
-5.0142211E-001	-1.089202076196674E+000
-5.6142890E-001	-1.531792184239940E+000
-5.1139081E-001	-1.073921843578944E+000
-5.7140905E-001	-1.510731472780830E+000
-5.2143586E-001	-1.061712663424643E+000
-5.8136249E-001	-1.490932568123467E+000
-5.3145415E-001	-1.050760159367010E+000
-5.9151059E-001	-1.476466571029867E+000
-5.4149157E-001	-1.040476091598210E+000
-6.0148692E-001	-1.461523060735904E+000
-5.5145645E-001	-1.032031755698355E+000
-6.1153197E-001	-1.451761757072653E+000
-5.6139070E-001	-1.024899245877015E+000
-6.2151212E-001	-1.442663893887872E+000
-5.7142818E-001	-1.018932987200589E+000
-6.3154948E-001	-1.435234890172357E+000
-5.8142358E-001	-1.011785427990716E+000
-6.4148378E-001	-1.431037912243291E+000
-5.9150296E-001	-1.008493087009381E+000
-6.5154409E-001	-1.428454273625424E+000
-6.0151362E-001	-1.004270922980811E+000
-6.6147077E-001	-1.429037345083136E+000
-6.1155105E-001	-1.002039180774438E+000
-6.7153877E-001	-1.430660948941583E+000
-6.2145865E-001	-1.001657201271311E+000
-6.8154180E-001	-1.435953728462521E+000
-6.3150752E-001	-1.002662502621352E+000
-6.9148374E-001	-1.442653869327746E+000
-6.4140356E-001	-1.004632851795147E+000
-7.0158607E-001	-1.452324644515389E+000
-6.5147918E-001	-1.008809773545519E+000
-7.1145928E-001	-1.466222747376092E+000
-6.6150135E-001	-1.015133049142989E+000
-7.2151959E-001	-1.480764078466517E+000
-6.7143947E-001	-1.021436166606453E+000
-7.3148066E-001	-1.499326633779628E+000
-6.8148839E-001	-1.031710055313614E+000
-7.4149895E-001	-1.520985347659964E+000
-6.9150662E-001	-1.042381142315111E+000
-7.5150204E-001	-1.547590183584315E+000
-7.0142192E-001	-1.055404545445191E+000
-7.6150888E-001	-1.575582149781679E+000
-7.1148986E-001	-1.071458927894894E+000
-7.7146989E-001	-1.607218405133800E+000
-7.2148526E-001	-1.089126657498511E+000
-7.8147298E-001	-1.644971745578868E+000
