Ewe/V	<I>/mA	
1.2787993E+000	4.126427459716797E+001
1.3287802E+000	4.995223846435545E+001
1.2687849E+000	3.946911239624023E+001
1.3187580E+000	4.800612258911133E+001
1.2588123E+000	3.769532012939453E+001
1.3087970E+000	4.610900135040283E+001
1.2487826E+000	3.596075859069825E+001
1.2987711E+000	4.425796642303465E+001
1.2388903E+000	3.429780654907228E+001
1.2889055E+000	4.246337623596185E+001
1.2288299E+000	3.267510070800779E+001
1.2787535E+000	4.069957370758057E+001
1.2189070E+000	3.108421449661250E+001
1.2688268E+000	3.895995292663574E+001
1.2087971E+000	2.952310504913328E+001
1.2588047E+000	3.725704288482666E+001
1.1988093E+000	2.799939594268795E+001
1.2487750E+000	3.558849391937252E+001
1.1888292E+000	2.653890657424927E+001
1.2388253E+000	3.397646369934083E+001
1.1787995E+000	2.512819433212275E+001
1.2288643E+000	3.241174335479737E+001
1.1688117E+000	2.375522203445433E+001
1.2188193E+000	3.085957584381100E+001
1.1588010E+000	2.240463762283321E+001
1.2088581E+000	2.933936052322383E+001
1.1487675E+000	2.110493478775025E+001
1.1987751E+000	2.787562532424926E+001
1.1387796E+000	1.985114974975585E+001
1.1888789E+000	2.643104667663573E+001
1.1288186E+000	1.865000715255737E+001
1.1788338E+000	2.504967269897460E+001
1.1188346E+000	1.750645065307617E+001
1.1689415E+000	2.369467401504517E+001
1.1088889E+000	1.638948078155518E+001
1.1588315E+000	2.237531871795655E+001
1.0988629E+000	1.531432414054871E+001
1.1487483E+000	2.110506935119628E+001
1.0888294E+000	1.430884375572204E+001
1.1388255E+000	1.989498634338378E+001
1.0787308E+000	1.335124807357786E+001
1.1288911E+000	1.872952194213866E+001
1.0687622E+000	1.244476437568665E+001
1.1188155E+000	1.759969854354853E+001
1.0586637E+000	1.157770500183105E+001
1.1089041E+000	1.650288009643555E+001
1.0487751E+000	1.075270380973815E+001
1.0988629E+000	1.546013607978819E+001
1.0386804E+000	9.985214042663571E+000
1.0887797E+000	1.445704350471496E+001
1.0287728E+000	9.264347314834595E+000
1.0786887E+000	1.352292213439938E+001
1.0187699E+000	8.595530271530123E+000
1.0688423E+000	1.262054514884946E+001
1.0086828E+000	7.956662559509276E+000
1.0587553E+000	1.175570068359374E+001
