Ewe/V	<I>/mA	
1.2788107E+000	4.004682159423828E+001
1.3288031E+000	4.863706970214844E+001
1.2688421E+000	3.828519397311740E+001
1.3187963E+000	4.673879517449268E+001
1.2587550E+000	3.660565884908038E+001
1.3088123E+000	4.490161599053278E+001
1.2488589E+000	3.491508992513013E+001
1.2987710E+000	4.309268527560764E+001
1.2388635E+000	3.328048303392198E+001
1.2888443E+000	4.130198733011878E+001
1.2288376E+000	3.169246016608344E+001
1.2787764E+000	3.959382205539279E+001
1.2188154E+000	3.013469833797876E+001
1.2688040E+000	3.789389059278700E+001
1.2087590E+000	2.864629385206435E+001
1.2588123E+000	3.622804578145343E+001
1.1988513E+000	2.714976151784259E+001
1.2487787E+000	3.461491648356116E+001
1.1887491E+000	2.573803371853299E+001
1.2388177E+000	3.300961600409613E+001
1.1788146E+000	2.434680610232880E+001
1.2288643E+000	3.147639285193549E+001
1.1687926E+000	2.298724386427138E+001
1.2187276E+000	2.995613288879395E+001
1.1588353E+000	2.171558581458198E+001
1.2087704E+000	2.848999034033881E+001
1.1488132E+000	2.044416109720862E+001
1.1988361E+000	2.706837251451280E+001
1.1387415E+000	1.924444643656409E+001
1.1888063E+000	2.565723980797662E+001
1.1288301E+000	1.808223364088271E+001
1.1788682E+000	2.433069875505231E+001
1.1188842E+000	1.695987733205158E+001
1.1687583E+000	2.300475311279297E+001
1.1088774E+000	1.591135475370618E+001
1.1589117E+000	2.174372821384006E+001
1.0988781E+000	1.487282604641382E+001
1.1488361E+000	2.052136908637152E+001
1.0888026E+000	1.390666712654959E+001
1.1388140E+000	1.931745338439941E+001
1.0787728E+000	1.296818235185411E+001
1.1287613E+000	1.819946787092420E+001
1.0688270E+000	1.208561854892307E+001
1.1188651E+000	1.709568034278022E+001
1.0587171E+000	1.127054368125067E+001
1.1087972E+000	1.604499223497179E+001
1.0486873E+000	1.046414852142334E+001
1.0988400E+000	1.505130820804172E+001
1.0387416E+000	9.741921795739046E+000
1.0887414E+000	1.407109912236531E+001
1.0287843E+000	9.039368523491753E+000
1.0787385E+000	1.317408392164442E+001
1.0186858E+000	8.379643387264675E+000
1.0687239E+000	1.228922843933105E+001
1.0088127E+000	7.780444754494553E+000
1.0587209E+000	1.147285869386459E+001
9.9880189E-001	7.189267767800203E+000
1.0487217E+000	1.069850911034478E+001
9.8864233E-001	6.669887463251747E+000
1.0388408E+000	9.956079165140778E+000
9.7873855E-001	6.162412034140687E+000
1.0287385E+000	9.280754407246889E+000
9.6882713E-001	5.691715902752335E+000
1.0186896E+000	8.617166307237412E+000
9.5874774E-001	5.272081666522553E+000
1.0088432E+000	8.016779051886665E+000
9.4875610E-001	4.851597971386369E+000
9.9868357E-001	7.451451619466127E+000
9.3875694E-001	4.493848641713456E+000
9.8881412E-001	6.904418283038666E+000
9.2876148E-001	4.136821137534241E+000
9.7876525E-001	6.429392629199555E+000
9.1877753E-001	3.810778273476487E+000
9.6876222E-001	5.945538149939644E+000
9.0877068E-001	3.517842716640896E+000
9.5879352E-001	5.520683315065172E+000
8.9887071E-001	3.217458089192704E+000
9.4882107E-001	5.121295081244575E+000
8.8877225E-001	2.976517730289036E+000
9.3881798E-001	4.731053749720253E+000
8.7879205E-001	2.718132522371080E+000
