Ewe/V	<I>/mA	
1.2788124E+000	1.887982177734375E+001
1.3287895E+000	2.493777186312576E+001
1.2687712E+000	1.721725274146871E+001
1.3188093E+000	2.303943944991897E+001
1.2588445E+000	1.572184251978041E+001
1.3087643E+000	2.134320471641864E+001
1.2487575E+000	1.442609842026488E+001
1.2987077E+000	1.981919496110145E+001
1.2388117E+000	1.326868948530642E+001
1.2888575E+000	1.843667969297856E+001
1.2288201E+000	1.222741508483887E+001
1.2787590E+000	1.713045941515168E+001
1.2188820E+000	1.127928421345163E+001
1.2688055E+000	1.592703761699349E+001
1.2087492E+000	1.042052171585408E+001
1.2588407E+000	1.481166610058312E+001
1.1988033E+000	9.653687461893609E+000
1.2488147E+000	1.378981905795155E+001
1.1887583E+000	8.942257685864220E+000
1.2388040E+000	1.282853008077500E+001
1.1787170E+000	8.299226677164114E+000
1.2288315E+000	1.193949610628979E+001
1.1687217E+000	7.721558650757395E+000
1.2187788E+000	1.111818566981776E+001
1.1587300E+000	7.192468876534306E+000
1.2087530E+000	1.036652549784235E+001
1.1487194E+000	6.713741060267097E+000
1.1987919E+000	9.664168659676875E+000
1.1387926E+000	6.275418876333433E+000
1.1887392E+000	9.020087046826134E+000
1.1287363E+000	5.869570903321517E+000
1.1787399E+000	8.438766629137874E+000
1.1187217E+000	5.502169766324641E+000
1.1687675E+000	7.897775349464808E+000
1.1087110E+000	5.164426902507209E+000
1.1587186E+000	7.408852385713701E+000
1.0987500E+000	4.855087857297121E+000
1.1486583E+000	6.958418551911691E+000
1.0887737E+000	4.565663758744584E+000
1.1387889E+000	6.542718099786867E+000
1.0787172E+000	4.296678111908282E+000
1.1288469E+000	6.156799299919859E+000
1.0686759E+000	4.049499826228370E+000
1.1187446E+000	5.800739536894127E+000
1.0587341E+000	3.819896300422386E+000
1.1087568E+000	5.468321763454600E+000
1.0487691E+000	3.602344180675246E+000
1.0987614E+000	5.162308842577815E+000
1.0387509E+000	3.398575743462178E+000
1.0887928E+000	4.872477579624093E+000
1.0287859E+000	3.206774448460720E+000
1.0787401E+000	4.602251443457092E+000
1.0188173E+000	3.027732316483842E+000
1.0688057E+000	4.348783616055826E+000
1.0087340E+000	2.859210287636895E+000
1.0587608E+000	4.110885088748120E+000
9.9870044E-001	2.697412079953125E+000
1.0487691E+000	3.884203200644635E+000
9.8878902E-001	2.543674916028976E+000
1.0387738E+000	3.667844652495475E+000
9.7873634E-001	2.397855250759328E+000
1.0287516E+000	3.465244088401182E+000
9.6882111E-001	2.258723024358140E+000
1.0188326E+000	3.272006323997008E+000
9.5874172E-001	2.126061642423590E+000
1.0087913E+000	3.087477360000001E+000
9.4887227E-001	2.001118183453032E+000
9.9878061E-001	2.913874255215859E+000
9.3878907E-001	1.880813035559143E+000
9.8870885E-001	2.749160329078101E+000
9.2880130E-001	1.768161365326414E+000
9.7876686E-001	2.591910891710441E+000
9.1890901E-001	1.659903836694163E+000
9.6890134E-001	2.441307112257530E+000
9.0881813E-001	1.556258111241014E+000
9.5887154E-001	2.298540156572422E+000
8.9885706E-001	1.458254887702608E+000
9.4877690E-001	2.160353172966774E+000
8.8878912E-001	1.363482613512808E+000
9.3881959E-001	2.030882386451070E+000
8.7874788E-001	1.275314410633229E+000
9.2875165E-001	1.907972444245155E+000
8.6885560E-001	1.190451862647178E+000
9.1881734E-001	1.790770055131709E+000
8.5879904E-001	1.109282046873517E+000
9.0874940E-001	1.678086013552990E+000
8.4884185E-001	1.033128995052042E+000
8.9883417E-001	1.571799085812366E+000
8.3888084E-001	9.615184395237169E-001
8.8878912E-001	1.470134487494509E+000
8.2892358E-001	8.928242083242566E-001
8.7879759E-001	1.373312234561494E+000
8.1888622E-001	8.276359662413579E-001
8.6883652E-001	1.280076301478321E+000
8.0879158E-001	7.665449230277783E-001
8.5883349E-001	1.192298736661037E+000
7.9877704E-001	7.088037521598167E-001
8.4878463E-001	1.109043491013506E+000
7.8883886E-001	6.552089344947891E-001
8.3878535E-001	1.029988675358446E+000
7.7873272E-001	6.028236864095033E-001
8.2880908E-001	9.560053467433498E-001
7.6870680E-001	5.548393669280598E-001
8.1885946E-001	8.849870567309095E-001
7.5876486E-001	5.097429031070240E-001
8.0885643E-001	8.186686817318822E-001
7.4873519E-001	4.662358335992121E-001
7.9888391E-001	7.568320844401697E-001
7.3877794E-001	4.269715109245578E-001
7.8884268E-001	6.976968335344420E-001
7.2866791E-001	3.896578084281153E-001
7.7874041E-001	6.412789653590387E-001
7.1871841E-001	3.542496473231216E-001
7.6874119E-001	5.889392967553846E-001
7.0870382E-001	3.211706380577786E-001
7.5878775E-001	5.405089211590748E-001
6.9869316E-001	2.910015381317814E-001
7.4875039E-001	4.948416972889542E-001
6.8872833E-001	2.622293898479096E-001
7.3869395E-001	4.515973044202682E-001
6.7873287E-001	2.351690954429673E-001
7.2880536E-001	4.113217950501338E-001
6.6879481E-001	2.102963832860931E-001
7.1877944E-001	3.741949328241185E-001
6.5874588E-001	1.873397590949177E-001
7.0870382E-001	3.391018196781899E-001
6.4878106E-001	1.656090772730556E-001
6.9865501E-001	3.064519376989372E-001
6.3870549E-001	1.460098032146058E-001
6.8877792E-001	2.763757207133661E-001
6.2872148E-001	1.283784320855395E-001
6.7875582E-001	2.485776188922051E-001
6.1870325E-001	1.118788653192050E-001
6.6877180E-001	2.232397317965613E-001
6.0872310E-001	9.697998710412570E-002
6.5876502E-001	1.998528762462919E-001
5.9884596E-001	8.385973672402325E-002
6.4881539E-001	1.786619520330044E-001
5.8875519E-001	7.242049993154534E-002
6.3875896E-001	1.592914714339249E-001
5.7888192E-001	6.219349990777179E-002
6.2882072E-001	1.419589930669742E-001
5.6879485E-001	5.250373357371918E-002
6.1883307E-001	1.263167548409485E-001
5.5875361E-001	4.388427605497669E-002
6.0873836E-001	1.119814696820807E-001
5.4873151E-001	3.692220214771674E-002
5.9880781E-001	9.922958328884002E-002
5.3886974E-001	3.035423792380243E-002
5.8873224E-001	8.801940512506579E-002
5.2877510E-001	2.414697331790949E-002
5.7885516E-001	7.791784176840744E-002
5.1880252E-001	1.938591909156263E-002
5.6869179E-001	6.986620263295605E-002
5.0884539E-001	1.381189065303723E-002
5.5874985E-001	6.299908307103563E-002
4.9886140E-001	8.865858141844180E-003
5.4867804E-001	5.669891953646666E-002
4.8880488E-001	3.569496793367781E-003
5.3878576E-001	5.166838799623086E-002
4.7873691E-001	-1.018110083950500E-003
5.2879798E-001	4.741113389807528E-002
4.6892095E-001	-5.750432987390912E-003
5.1882923E-001	4.399072132141446E-002
4.5881870E-001	-1.070197252390265E-002
5.0880331E-001	4.094820063929025E-002
4.4879651E-001	-1.546206173517278E-002
4.9880794E-001	3.843702369438184E-002
4.3887743E-001	-2.076370624330053E-002
4.8877051E-001	3.598819557254640E-002
4.2877516E-001	-2.571751144600098E-002
4.7881332E-001	3.381307371917963E-002
4.1885233E-001	-3.065951071143075E-002
4.6876821E-001	3.111240980577815E-002
4.0881872E-001	-3.607916357655194E-002
4.5885691E-001	2.962968489215741E-002
3.9884999E-001	-4.049928825824806E-002
4.4881561E-001	2.696425202304176E-002
3.8888898E-001	-4.478401171624502E-002
4.3883544E-001	2.458622923611670E-002
3.7884009E-001	-4.895818760826631E-002
4.2888969E-001	2.207024828081039E-002
3.6881804E-001	-5.236468274899297E-002
4.1884086E-001	2.002181688141640E-002
3.5878062E-001	-5.477472908418390E-002
4.0879965E-001	1.762779240194272E-002
3.4875467E-001	-5.625297103146529E-002
3.9885005E-001	1.592924440255762E-002
3.3877835E-001	-5.630909432805686E-002
3.8875917E-001	1.438538868884046E-002
3.2883254E-001	-5.617060590327339E-002
3.7872562E-001	1.242774636491649E-002
3.1879133E-001	-5.508132793375864E-002
3.6885235E-001	1.107441596035100E-002
3.0872333E-001	-5.385123747599097E-002
3.5881498E-001	1.033249982859334E-002
2.9877377E-001	-5.219215661054499E-002
3.4874699E-001	9.594445046651398E-003
2.8883946E-001	-5.008746422158472E-002
3.3886999E-001	9.123448564941211E-003
2.7886319E-001	-4.850298955422291E-002
3.2881734E-001	8.608176402349076E-003
2.6879519E-001	-4.676478539972484E-002
3.1879893E-001	8.085772212073974E-003
2.5881505E-001	-4.538427907267617E-002
3.0882648E-001	7.668937373733892E-003
2.4880053E-001	-4.352539922829846E-002
2.9883492E-001	7.352877587184947E-003
