Ewe/V	<I>/mA	
1.2787743E+000	2.049456596374512E+001
1.3286520E+000	2.726218214902011E+001
1.2687368E+000	1.929954346743497E+001
1.3187597E+000	2.573156729611483E+001
1.2587070E+000	1.814308686689895E+001
1.3087184E+000	2.430154054815119E+001
1.2488185E+000	1.707367680289528E+001
1.2987498E+000	2.295501873709938E+001
1.2387620E+000	1.605163539539683E+001
1.2888308E+000	2.164318986372513E+001
1.2287551E+000	1.505732410604304E+001
1.2787437E+000	2.035740826346657E+001
1.2188133E+000	1.410852315209128E+001
1.2687674E+000	1.914189711484042E+001
1.2088178E+000	1.325090039860119E+001
1.2587605E+000	1.802730412916705E+001
1.1987385E+000	1.247080742229116E+001
1.2487270E+000	1.698835043473679E+001
1.1887468E+000	1.172309853813864E+001
1.2387201E+000	1.598285770416260E+001
1.1787170E+000	1.100364043495873E+001
1.2287934E+000	1.500712507421321E+001
1.1686912E+000	1.032016069238836E+001
1.2188247E+000	1.410133405165237E+001
1.1586614E+000	9.711849819530130E+000
1.2087682E+000	1.327974202416159E+001
1.1486926E+000	9.162003647197380E+000
1.1986544E+000	1.251814126968384E+001
1.1386515E+000	8.637264338406652E+000
1.1887544E+000	1.178873400254685E+001
1.1286598E+000	8.115964672782198E+000
1.1787553E+000	1.107955546812578E+001
1.1187751E+000	7.627708088267937E+000
1.1686682E+000	1.043255779959938E+001
1.1086957E+000	7.195571010762997E+000
1.1586995E+000	9.855223915793687E+000
1.0986850E+000	6.807000767100945E+000
1.1486888E+000	9.323835633017808E+000
1.0887393E+000	6.431887496601448E+000
1.1387240E+000	8.798037615689367E+000
1.0787706E+000	6.048040086572797E+000
1.1287820E+000	8.280348604375661E+000
1.0686874E+000	5.683518496426672E+000
1.1186950E+000	7.814179095354945E+000
1.0587072E+000	5.366574330763385E+000
1.1087034E+000	7.396350297060877E+000
1.0487462E+000	5.090574329549618E+000
1.0987080E+000	7.015854141928926E+000
1.0387623E+000	4.812959519299582E+000
1.0887583E+000	6.628186984495670E+000
1.0287974E+000	4.521332415667445E+000
1.0787935E+000	6.239390698346227E+000
1.0187180E+000	4.242397460070521E+000
1.0687791E+000	5.888551755384967E+000
1.0087073E+000	4.006786443970420E+000
1.0586843E+000	5.582026373256333E+000
9.9881494E-001	3.804340221665115E+000
1.0487729E+000	5.299046169627800E+000
9.8876995E-001	3.591371395371176E+000
1.0387509E+000	5.001740412278608E+000
9.7880507E-001	3.365657329559326E+000
1.0287019E+000	4.702003890817814E+000
9.6868753E-001	3.147844011133365E+000
1.0187600E+000	4.428973197937012E+000
9.5876843E-001	2.969377333467659E+000
1.0087417E+000	4.203085942701861E+000
9.4873863E-001	2.822408990426496E+000
9.9876153E-001	3.991766615347430E+000
9.3880433E-001	2.663337902589277E+000
9.8874319E-001	3.761937542395152E+000
9.2875934E-001	2.484159220348705E+000
9.7869819E-001	3.521412014961228E+000
9.1876388E-001	2.308540311726656E+000
9.6871424E-001	3.309103109619826E+000
9.0866154E-001	2.172163692387667E+000
9.5872259E-001	3.139613509178147E+000
8.9871585E-001	2.064872037280690E+000
9.4875014E-001	2.980038794604212E+000
8.8874710E-001	1.946450054645538E+000
9.3873942E-001	2.801693612878971E+000
8.7873644E-001	1.803266904570840E+000
9.2869818E-001	2.609526948495343E+000
8.6882502E-001	1.660743518309161E+000
9.1878301E-001	2.443128163164314E+000
8.5877621E-001	1.557445444843978E+000
9.0876085E-001	2.316753430800006E+000
8.4877694E-001	1.484030620618300E+000
8.9878070E-001	2.203123829581521E+000
8.3883888E-001	1.397419290109113E+000
8.8883877E-001	2.065167264504865E+000
8.2886630E-001	1.284744652834807E+000
8.7872499E-001	1.907815185460176E+000
8.1871819E-001	1.165697422894564E+000
8.6884028E-001	1.779651826078243E+000
8.0873424E-001	1.087785460732199E+000
8.5879147E-001	1.686581134796143E+000
7.9885340E-001	1.040451250293035E+000
8.4886098E-001	1.607957184314728E+000
7.8870142E-001	9.790350225838749E-001
8.3880061E-001	1.503183077682145E+000
7.7869838E-001	8.851828981529568E-001
8.2878238E-001	1.378023749048060E+000
7.6875263E-001	7.889345369555736E-001
8.1878310E-001	1.277121896093542E+000
7.5862360E-001	7.279175655408343E-001
