Ewe/V	<I>/mA	
1.2787360E+000	2.073026466369629E+001
1.3287092E+000	2.751806272779193E+001
1.2687368E+000	1.954593317849296E+001
1.3187941E+000	2.600498744419642E+001
1.2587185E+000	1.842864636012487E+001
1.3087871E+000	2.452342891693104E+001
1.2487345E+000	1.730682754516602E+001
1.2986734E+000	2.318891470772877E+001
1.2387697E+000	1.626040267944336E+001
1.2887926E+000	2.181584535326276E+001
1.2287896E+000	1.530977882657729E+001
1.2787741E+000	2.059077657972064E+001
1.2187293E+000	1.434261928285872E+001
1.2687330E+000	1.939321381705150E+001
1.2087644E+000	1.351156343732562E+001
1.2588025E+000	1.823093060084753E+001
1.1987690E+000	1.268028899601526E+001
1.2487842E+000	1.720496899741033E+001
1.1887277E+000	1.189908477238245E+001
1.2387927E+000	1.614735439845495E+001
1.1786484E+000	1.121722997937884E+001
1.2287170E+000	1.521547733034407E+001
1.1686950E+000	1.050967155184065E+001
1.2188438E+000	1.433380583354403E+001
1.1586537E+000	9.919989109039307E+000
1.2087224E+000	1.345821905136108E+001
1.1486430E+000	9.325177737644708E+000
1.1986582E+000	1.271346902847284E+001
1.1387087E+000	8.766301155090332E+000
1.1887048E+000	1.194571665355136E+001
1.1286942E+000	8.295804841177798E+000
1.1786979E+000	1.128162506648474E+001
1.1186607E+000	7.779905557632446E+000
1.1686721E+000	1.064883136749268E+001
1.1087377E+000	7.370748690196450E+000
1.1586919E+000	1.002255821228027E+001
1.0986774E+000	6.942082166671725E+000
1.1486775E+000	9.506166253771084E+000
1.0887469E+000	6.534126281738281E+000
1.1387049E+000	8.943689141954678E+000
1.0787477E+000	6.204645599637711E+000
1.1287133E+000	8.467626776014058E+000
1.0686722E+000	5.811969484601690E+000
1.1187065E+000	8.019778387887143E+000
1.0586843E+000	5.522845200129915E+000
1.1087950E+000	7.548300198146272E+000
1.0486966E+000	5.204578672136563E+000
1.0986965E+000	7.183810847146177E+000
1.0387431E+000	4.894171203885758E+000
1.0886782E+000	6.758773701531538E+000
1.0287402E+000	4.658745493207661E+000
1.0786828E+000	6.413684879030502E+000
1.0186951E+000	4.355022941316879E+000
1.0686913E+000	6.080383913857602E+000
1.0087264E+000	4.145246607916697E+000
1.0587263E+000	5.718296016965592E+000
9.9866986E-001	3.897515330995834E+000
1.0487119E+000	5.455120563507080E+000
9.8878902E-001	3.658679178782869E+000
1.0388043E+000	5.123129538127358E+000
9.7871727E-001	3.488686033657615E+000
1.0286944E+000	4.862136942999705E+000
9.6865696E-001	3.243301187242782E+000
