Ewe/V	<I>/mA	
-1.2251625E-001	-4.116975760553032E-004
-7.2501041E-002	2.094622873342954E-002
-1.3248493E-001	1.123897480059755E-002
-8.2484998E-002	1.896365921801100E-002
-1.4246887E-001	7.787833655199319E-003
-9.2491843E-002	2.096091536805028E-002
-1.5248720E-001	1.408800330514517E-002
-1.0251398E-001	2.015320122098685E-002
-1.6245967E-001	1.056343292629416E-002
-1.1249024E-001	2.066720180356718E-002
-1.7251238E-001	6.774519917179034E-003
-1.2243222E-001	1.978605853107113E-002
-1.8250014E-001	1.295720389148647E-002
-1.3250402E-001	1.936017292050213E-002
-1.9248410E-001	1.141520374669477E-002
-1.4248416E-001	1.784754569570604E-002
-2.0246424E-001	1.363274698647166E-002
-1.5247191E-001	1.746571590550813E-002
-2.1240240E-001	5.159091967260984E-003
-1.6249405E-001	2.254697046457571E-002
-2.2248180E-001	9.667604911485855E-003
-1.7247032E-001	1.648177220844306E-002
-2.3244280E-001	1.035783222267544E-002
-1.8249634E-001	1.493977443673286E-002
-2.4242294E-001	6.025548519503966E-003
-1.9242302E-001	1.689297293509856E-002
-2.5244507E-001	5.731834468651165E-003
-2.0249481E-001	1.596777334522743E-002
-2.6249391E-001	2.060407528635830E-003
-2.1242903E-001	1.549783123370543E-002
-2.7243969E-001	1.358868858705345E-002
-2.2244363E-001	1.916925836569414E-002
-2.8241602E-001	7.215091533278331E-003
-2.3246956E-001	8.478062375126258E-003
-2.9238468E-001	7.406005821674347E-003
-2.4249169E-001	1.535097378207584E-002
-3.0241063E-001	7.743777019920961E-003
-2.5242600E-001	1.787691559785834E-002
-3.1237176E-001	3.954864071252253E-003
-2.6242143E-001	1.646708861853066E-002
-3.2243580E-001	2.486293148159832E-003
-2.7247787E-001	1.545377441037159E-002
-3.3238927E-001	3.220578180424546E-003
-2.8242370E-001	1.574748750919333E-002
-3.4242281E-001	-1.816619841310270E-003
-2.9243046E-001	1.379428877351947E-002
-3.5242212E-001	1.149893604283882E-003
-3.0239916E-001	1.639365967219839E-002
-3.6244038E-001	2.589092914534449E-003
-3.1246716E-001	1.568874539449238E-002
-3.7243962E-001	1.135208032232743E-003
-3.2244349E-001	1.950702998930445E-002
-3.8243496E-001	1.972293255116361E-003
-3.3241975E-001	1.822937279044149E-002
-3.9241132E-001	2.750635939054710E-003
-3.4242669E-001	1.871400129479857E-002
-4.0242964E-001	-5.095916444238704E-004
-3.5244119E-001	1.855245948984072E-002
-4.1245946E-001	-1.596334409931354E-003
-3.6247474E-001	1.844965895781150E-002
-4.2235556E-001	-1.317305783651634E-003
-3.7240523E-001	1.602651694646245E-002
-4.3251514E-001	-1.787248298149699E-003
-3.8244647E-001	2.032942901580380E-002
-4.4248763E-001	-4.680332827075084E-003
-3.9237693E-001	1.734822945526010E-002
-4.5250973E-001	-7.088789720840465E-003
-4.0242964E-001	1.985948629534007E-002
