Ewe/V	<I>/mA	
-1.2246729E-001	1.803061924874783E-002
-7.2326057E-002	2.710550176071935E-002
-1.3243215E-001	2.035031757216049E-002
-8.2378767E-002	2.602050422072999E-002
-1.4243147E-001	1.886988243567619E-002
-9.2404775E-002	2.907891122458300E-002
-1.5241155E-001	2.179256937291363E-002
-1.0236956E-001	2.653464922533910E-002
-1.6244890E-001	1.990800076118199E-002
-1.1250631E-001	2.676903922110796E-002
-1.7241764E-001	2.134344904766519E-002
-1.2244441E-001	3.415609571603262E-002
-1.8244357E-001	2.481430818760155E-002
-1.3246654E-001	2.775952354589900E-002
-1.9242373E-001	2.364387079188135E-002
-1.4243519E-001	2.453477594927689E-002
-2.0243445E-001	2.156914309552399E-002
-1.5239626E-001	2.896549683617483E-002
-2.1243750E-001	1.816066319934359E-002
-1.6244897E-001	2.577477314573998E-002
-2.2241376E-001	2.070795001443660E-002
-1.7242911E-001	2.682574452039334E-002
-2.3240539E-001	1.668136217170348E-002
-1.8243977E-001	2.556306594005314E-002
-2.4241224E-001	1.914358879485638E-002
-1.9245802E-001	2.396392339084402E-002
-2.5236940E-001	1.801284764764258E-002
-2.0238478E-001	1.823649744245012E-002
-2.6245263E-001	2.082287625289786E-002
-2.1241072E-001	2.508672554562291E-002
-2.7238700E-001	1.772855563402764E-002
-2.2240616E-001	2.440623827463029E-002
-2.8241673E-001	1.750286103290791E-002
-2.3244351E-001	2.501867716154544E-002
-2.9237780E-001	1.875533292180681E-002
-2.4244662E-001	2.323807116671650E-002
-3.0243811E-001	1.759245849242155E-002
-2.5236943E-001	2.644013770219714E-002
-3.1239915E-001	2.124288818328687E-002
-2.6242211E-001	2.607343105212001E-002
-3.2242510E-001	1.516652432740617E-002
-2.7240989E-001	2.688245232779496E-002
-3.3236700E-001	1.859201656857339E-002
-2.8243202E-001	2.507160272043529E-002
-3.4235096E-001	1.650368031875073E-002
-2.9241216E-001	2.496953053160167E-002
-3.5238457E-001	1.927099019141480E-002
-3.0233884E-001	2.195270739421986E-002
-3.6242968E-001	2.137218111443634E-002
