Ewe/V	<I>/mA	
-1.2262217E-001	2.222919603809714E-003
-7.2629847E-002	1.750833771713983E-002
-1.3261761E-001	1.100794337519512E-002
-8.2636699E-002	1.802986081144431E-002
-1.4262445E-001	1.339204262987503E-002
-9.2567258E-002	1.822543171484295E-002
-1.5257403E-001	9.871770934451629E-003
-1.0258178E-001	1.911015631403865E-002
-1.6259624E-001	9.126739871756301E-003
-1.1261913E-001	1.714513593966641E-002
-1.7257251E-001	1.046779548033089E-002
-1.2262217E-001	1.840237582602150E-002
-1.8260606E-001	9.890397104843541E-003
-1.3261381E-001	2.028357957648794E-002
-1.9260149E-001	1.777841348382758E-002
-1.4262833E-001	1.802986076601396E-002
-2.0255494E-001	1.029085167456509E-002
-1.5256262E-001	1.966892877911647E-002
-2.1255031E-001	1.200442284163906E-002
-1.6258475E-001	1.881214199451411E-002
-2.2261442E-001	1.210686400896165E-002
-1.7258780E-001	1.568301210730768E-002
-2.3258696E-001	6.118677394669036E-003
-1.8262514E-001	1.606484083458781E-002
-2.4256325E-001	5.355020806125210E-003
-1.9258240E-001	1.496592141892307E-002
-2.5254720E-001	9.555132460152910E-003
-2.0255487E-001	1.396012826391108E-002
-2.6257312E-001	4.768308641093712E-003
-2.1258087E-001	1.504973651523270E-002
-2.7257997E-001	7.934690664647262E-003
-2.2258385E-001	1.871901353048841E-002
-2.8256392E-001	1.355036154457527E-002
-2.3260985E-001	1.596239831003288E-002
-2.9255557E-001	7.990567101642664E-003
-2.4261291E-001	1.754559029075430E-002
-3.0258918E-001	7.841561886335710E-003
-2.5258926E-001	2.480033019603026E-002
-3.1253105E-001	1.014184464825453E-002
-2.6256171E-001	1.628834937085829E-002
-3.2255328E-001	1.084962490060162E-002
-2.7260295E-001	2.006938240331846E-002
-3.3251047E-001	1.996694164486917E-002
-2.8251433E-001	1.870038907793237E-002
-3.4250590E-001	1.130595551690131E-002
-2.9253265E-001	1.741520942347802E-002
-3.5255474E-001	8.670408247470309E-003
-3.0255860E-001	1.801123426909126E-002
-3.6255017E-001	6.221119311415284E-003
-3.1256926E-001	1.633491370508947E-002
-3.7251884E-001	5.038382383113126E-003
-3.2261434E-001	1.605552763155685E-002
-3.8252950E-001	5.606468357522001E-003
-3.3251807E-001	1.733139368546444E-002
-3.9253640E-001	1.248869320332276E-002
-3.4256691E-001	2.035808208875539E-002
-4.0253946E-001	8.446899346337168E-003
-3.5252035E-001	1.938954177426129E-002
-4.1256538E-001	6.677450925408474E-003
-3.6253867E-001	1.863519811048742E-002
-4.2250347E-001	5.792726187082292E-003
-3.7247679E-001	2.058159253310132E-002
-4.3252942E-001	3.967400129157597E-003
-3.8251427E-001	1.769459629772094E-002
-4.4250196E-001	3.669388419572303E-003
-3.9251730E-001	1.898908746860378E-002
-4.5256609E-001	3.175805051663389E-003
-4.0255466E-001	1.811367680500373E-002
-4.6263400E-001	3.726259961783903E-004
-4.1253862E-001	1.731276742137239E-002
-4.7263712E-001	-9.404910725141075E-004
-4.2250356E-001	1.872832721053826E-002
-4.8252940E-001	6.333865669325960E-004
-4.3252569E-001	2.075853720080198E-002
-4.9260882E-001	-7.608519763602009E-003
-4.4245610E-001	1.846756740677649E-002
-5.0256598E-001	-4.050996320651520E-003
-4.5257375E-001	1.735002025053267E-002
-5.1255375E-001	-6.546850507885865E-003
-4.6256912E-001	2.049777496651539E-002
-5.2254921E-001	-9.638729316420958E-003
-4.7258744E-001	2.103792312668591E-002
-5.3257132E-001	-1.123123338287015E-002
-4.8259041E-001	1.881214253967854E-002
-5.4254758E-001	-1.430448712553919E-002
-4.9257436E-001	2.670015880792609E-002
-5.5256212E-001	-1.302862113977721E-002
-5.0263852E-001	2.118692901439784E-002
-5.6253088E-001	-9.377968255338209E-003
-5.1254994E-001	3.127278673757866E-002
-5.7255673E-001	-8.819195224687743E-003
-5.2254921E-001	2.037670844938697E-002
-5.8257502E-001	-1.444418053710606E-002
-5.3259045E-001	2.655115407868858E-002
-5.9253991E-001	-1.829971555938445E-002
-5.4261255E-001	2.514490748687481E-002
-6.0252774E-001	-1.585042671436762E-002
-5.5256212E-001	2.546154585008209E-002
-6.1251169E-001	-1.484463404773212E-002
-5.6253457E-001	3.108652967323616E-002
-6.2251854E-001	-1.518921154301342E-002
-5.7254153E-001	2.696092131479477E-002
-6.3251770E-001	-1.836490626560479E-002
-5.8260173E-001	2.752900584714435E-002
-6.4253986E-001	-1.826246400795334E-002
-5.9247893E-001	2.920532540032050E-002
-6.5251619E-001	-1.991084570110573E-002
-6.0252768E-001	2.859067662460046E-002
-6.6250783E-001	-2.066519043249332E-002
